-0.4, -0.4, -0, -0, -0, -0.2, 1.11746
-0.4, -0.36, -0, -0, -0, -0.2, 1.1093
-0.4, -0.32, -0, -0, -0, -0.2, 1.10296
-0.4, -0.28, -0, -0, -0, -0.2, 1.09481
-0.4, -0.24, -0, -0, -0, -0.2, 1.07742
-0.4, -0.2, -0, -0, -0, -0.2, 1.1005
-0.4, -0.16, -0, -0, -0, -0.2, 1.10756
-0.4, -0.12, -0, -0, -0, -0.2, 1.10375
-0.4, -0.08, -0, -0, -0, -0.2, 1.09494
-0.4, -0.04, -0, -0, -0, -0.2, 1.08364
-0.4, -4.16334e-17, -0, -0, -0, -0.2, 1.08028
-0.36, -0.4, -0, -0, -0, -0.2, 1.12724
-0.36, -0.36, -0, -0, -0, -0.2, 1.12731
-0.36, -0.32, -0, -0, -0, -0.2, 1.11512
-0.36, -0.28, -0, -0, -0, -0.2, 1.10266
-0.36, -0.24, -0, -0, -0, -0.2, 1.0903
-0.36, -0.2, -0, -0, -0, -0.2, 1.10414
-0.36, -0.16, -0, -0, -0, -0.2, 1.11038
-0.36, -0.12, -0, -0, -0, -0.2, 1.1016
-0.36, -0.08, -0, -0, -0, -0.2, 1.09571
-0.36, -0.04, -0, -0, -0, -0.2, 1.09273
-0.36, -4.16334e-17, -0, -0, -0, -0.2, 1.08803
-0.32, -0.4, -0, -0, -0, -0.2, 1.12418
-0.32, -0.36, -0, -0, -0, -0.2, 1.11248
-0.32, -0.32, -0, -0, -0, -0.2, 1.10496
-0.32, -0.28, -0, -0, -0, -0.2, 1.09958
-0.32, -0.24, -0, -0, -0, -0.2, 1.09012
-0.32, -0.2, -0, -0, -0, -0.2, 1.10343
-0.32, -0.16, -0, -0, -0, -0.2, 1.11516
-0.32, -0.12, -0, -0, -0, -0.2, 1.11371
-0.32, -0.08, -0, -0, -0, -0.2, 1.10281
-0.32, -0.04, -0, -0, -0, -0.2, 1.09909
-0.32, -4.16334e-17, -0, -0, -0, -0.2, 1.0889
-0.28, -0.4, -0, -0, -0, -0.2, 1.12237
-0.28, -0.36, -0, -0, -0, -0.2, 1.11573
